,Start,End,Precip,date,duration,cso,Duration,Precipitation,Year
20,01/20/2000 04:55:00,01/20/2000 05:10:00,0.22,01/20/2000,3,,15,0.055,0
21,01/20/2000 10:30:00,01/20/2000 10:35:00,0.07,01/20/2000,1,,5,0.0175,0
22,01/21/2000 06:00:00,01/21/2000 12:40:00,9.09,01/21/2000,80,,400,2.2725,0
23,01/22/2000 10:15:00,01/22/2000 10:25:00,0.11,01/22/2000,2,,10,0.0275,0
24,01/23/2000 09:45:00,01/23/2000 10:45:00,0.06,01/23/2000,12,,60,0.015,0
25,01/24/2000 15:40:00,01/25/2000 06:50:00,35.42,01/24/2000,182,,910,8.855,0
26,01/25/2000 21:45:00,01/26/2000 05:00:00,1.63,01/25/2000,87,,435,0.4075,0
27,01/26/2000 08:10:00,01/26/2000 10:10:00,1.47,01/26/2000,24,,120,0.3675,0
28,01/26/2000 19:00:00,01/26/2000 19:05:00,0.03,01/26/2000,1,,5,0.0075,0
29,01/26/2000 21:20:00,01/27/2000 16:15:00,36.37,01/26/2000,227,,1135,9.0925,0
30,01/28/2000 16:20:00,01/28/2000 18:25:00,1.29,01/28/2000,25,,125,0.3225,0
31,02/02/2000 21:00:00,02/02/2000 21:15:00,0.09,02/02/2000,3,,15,0.0225,0
32,02/02/2000 23:40:00,02/02/2000 23:50:00,0.03,02/02/2000,2,,10,0.0075,0
33,02/03/2000 03:10:00,02/03/2000 09:45:00,9.71,02/03/2000,79,,395,2.4275,0
34,02/03/2000 14:00:00,02/03/2000 18:45:00,10.39,02/03/2000,57,,285,2.5975,0
35,02/03/2000 23:00:00,02/04/2000 01:35:00,0.77,02/03/2000,31,,155,0.1925,0
36,02/04/2000 12:40:00,02/04/2000 14:25:00,1.63,02/04/2000,21,,105,0.4075,0
37,02/05/2000 13:45:00,02/05/2000 15:35:00,1.84,02/05/2000,22,,110,0.46,0
38,02/06/2000 05:25:00,02/06/2000 05:45:00,0.37,02/06/2000,4,,20,0.0925,0
39,02/06/2000 12:50:00,02/06/2000 14:05:00,0.32,02/06/2000,15,,75,0.08,0
40,02/06/2000 17:35:00,02/06/2000 18:00:00,1.5,02/06/2000,5,,25,0.375,0
41,02/07/2000 22:35:00,02/07/2000 22:55:00,0.22,02/07/2000,4,,20,0.055,0
42,02/09/2000 10:50:00,02/09/2000 11:15:00,0.06,02/09/2000,5,,25,0.015,0
43,02/11/2000 10:35:00,02/11/2000 16:45:00,2.91,02/11/2000,74,,370,0.7275,0
44,02/12/2000 20:00:00,02/12/2000 20:20:00,0.07,02/12/2000,4,,20,0.0175,0
45,02/13/2000 04:00:00,02/13/2000 10:45:00,2.21,02/13/2000,81,,405,0.5525,0
46,02/13/2000 13:20:00,02/13/2000 14:30:00,0.28,02/13/2000,14,,70,0.07,0
47,02/13/2000 23:20:00,02/14/2000 03:45:00,0.29,02/13/2000,53,,265,0.0725,0
48,02/14/2000 05:45:00,02/14/2000 07:05:00,1.11,02/14/2000,16,,80,0.2775,0
49,02/14/2000 09:35:00,02/14/2000 17:10:00,1.48,02/14/2000,91,,455,0.37,0
50,02/14/2000 19:40:00,02/14/2000 20:40:00,0.63,02/14/2000,12,,60,0.1575,0
51,02/15/2000 01:40:00,02/15/2000 15:35:00,38.76,02/15/2000,167,,835,9.69,0
52,02/15/2000 17:45:00,02/15/2000 17:50:00,0.17,02/15/2000,1,,5,0.0425,0
53,02/15/2000 23:15:00,02/16/2000 03:40:00,4.03,02/15/2000,53,,265,1.0075,0
54,02/16/2000 10:05:00,02/16/2000 10:25:00,0.27,02/16/2000,4,,20,0.0675,0
55,02/17/2000 02:00:00,02/17/2000 03:15:00,0.03,02/17/2000,15,,75,0.0075,0
56,02/18/2000 05:25:00,02/18/2000 13:15:00,10.01,02/18/2000,94,,470,2.5025,0
57,02/18/2000 15:20:00,02/18/2000 21:15:00,3.83,02/18/2000,71,,355,0.9575,0
58,02/20/2000 16:20:00,02/20/2000 16:40:00,0.07,02/20/2000,4,,20,0.0175,0
59,02/21/2000 02:55:00,02/21/2000 10:45:00,7.22,02/21/2000,94,,470,1.805,0
60,02/21/2000 14:25:00,02/21/2000 14:30:00,0.02,02/21/2000,1,,5,0.005,0
61,02/21/2000 18:45:00,02/22/2000 05:35:00,16.81,02/21/2000,130,,650,4.2025,0
62,02/23/2000 09:20:00,02/23/2000 10:20:00,0.14,02/23/2000,12,,60,0.035,0
63,02/23/2000 12:25:00,02/23/2000 14:15:00,1.24,02/23/2000,22,,110,0.31,0
64,02/24/2000 06:15:00,02/24/2000 09:20:00,3.25,02/24/2000,37,,185,0.8125,0
65,02/25/2000 06:05:00,02/25/2000 08:05:00,1.74,02/25/2000,24,,120,0.435,0
66,02/25/2000 15:50:00,02/25/2000 17:15:00,3.8,02/25/2000,17,,85,0.95,0
67,02/26/2000 09:05:00,02/26/2000 11:50:00,2.95,02/26/2000,33,,165,0.7375,0
68,02/26/2000 20:55:00,02/27/2000 09:55:00,6.9,02/26/2000,156,,780,1.725,0
69,02/27/2000 17:15:00,02/27/2000 17:35:00,0.04,02/27/2000,4,,20,0.01,0
70,02/28/2000 01:25:00,02/28/2000 03:50:00,0.95,02/28/2000,29,,145,0.2375,0
71,03/01/2000 16:00:00,03/02/2000 08:35:00,32.34,03/01/2000,199,,995,8.085,0
72,03/02/2000 12:10:00,03/02/2000 12:15:00,0.02,03/02/2000,1,,5,0.005,0
73,03/03/2000 00:55:00,03/03/2000 04:45:00,1.46,03/03/2000,46,,230,0.365,0
74,03/13/2000 14:25:00,03/13/2000 23:20:00,24.04,03/13/2000,107,,535,6.01,0
75,03/18/2000 22:25:00,03/19/2000 00:35:00,7.76,03/18/2000,26,,130,1.94,0
76,03/19/2000 03:25:00,03/19/2000 03:50:00,0.57,03/19/2000,5,,25,0.1425,0
77,03/19/2000 09:15:00,03/19/2000 15:30:00,24.71,03/19/2000,75,,375,6.1775,0
78,03/19/2000 17:55:00,03/19/2000 22:05:00,1.56,03/19/2000,50,,250,0.39,0
79,03/20/2000 04:20:00,03/20/2000 04:45:00,0.15,03/20/2000,5,,25,0.0375,0
80,03/20/2000 07:45:00,03/20/2000 09:05:00,1.67,03/20/2000,16,,80,0.4175,0
81,03/21/2000 07:05:00,03/21/2000 08:00:00,0.03,03/21/2000,11,,55,0.0075,0
82,03/22/2000 15:55:00,03/22/2000 18:10:00,7.54,03/22/2000,27,,135,1.885,0
83,03/23/2000 11:10:00,03/23/2000 15:40:00,11.1,03/23/2000,54,,270,2.775,0
84,03/23/2000 20:05:00,03/23/2000 22:30:00,2.1,03/23/2000,29,,145,0.525,0
85,03/27/2000 12:15:00,03/28/2000 03:00:00,8.85,03/27/2000,177,,885,2.2125,0
86,04/05/2000 11:55:00,04/05/2000 13:35:00,0.18,04/05/2000,20,,100,0.045,0
87,04/05/2000 17:20:00,04/05/2000 20:00:00,0.22,04/05/2000,32,,160,0.055,0
88,04/06/2000 00:15:00,04/06/2000 05:45:00,0.26,04/06/2000,66,,330,0.065,0
89,04/06/2000 15:35:00,04/06/2000 19:15:00,1.11,04/06/2000,44,,220,0.2775,0
90,04/07/2000 11:15:00,04/07/2000 15:15:00,0.49,04/07/2000,48,,240,0.1225,0
91,04/07/2000 17:35:00,04/08/2000 00:30:00,2.87,04/07/2000,83,,415,0.7175,0
92,04/08/2000 07:20:00,04/08/2000 17:15:00,5.34,04/08/2000,119,,595,1.335,0
93,04/08/2000 23:30:00,04/09/2000 11:05:00,6.03,04/08/2000,139,,695,1.5075,0
94,04/10/2000 03:10:00,04/10/2000 10:35:00,24.83,04/10/2000,89,,445,6.2075,0
95,04/10/2000 14:55:00,04/10/2000 17:25:00,5.12,04/10/2000,30,,150,1.28,0
