,Start,End,Date,Duration,Precipitation
71,02/17/2000 02:00:00,02/17/2000 03:15:00,02/17/2000,75.0,0.015
72,02/17/2000 15:10:00,02/17/2000 15:10:00,02/17/2000,0.0,0.0075
73,02/17/2000 19:20:00,02/17/2000 19:20:00,02/17/2000,0.0,0.0075
74,02/18/2000 05:25:00,02/18/2000 13:15:00,02/18/2000,470.0,2.51
75,02/18/2000 15:20:00,02/18/2000 21:15:00,02/18/2000,355.0,0.9650000000000001
76,02/19/2000 01:05:00,02/19/2000 01:05:00,02/19/2000,0.0,0.0075
77,02/20/2000 16:20:00,02/20/2000 16:40:00,02/20/2000,20.0,0.025
78,02/21/2000 02:55:00,02/21/2000 10:45:00,02/21/2000,470.0,1.8125
79,02/21/2000 14:25:00,02/21/2000 14:30:00,02/21/2000,5.0,0.01
80,02/21/2000 18:45:00,02/22/2000 05:35:00,02/21/2000,650.0,4.21
81,02/23/2000 09:20:00,02/23/2000 10:20:00,02/23/2000,60.0,0.0425
82,02/23/2000 12:25:00,02/23/2000 14:15:00,02/23/2000,110.0,0.3175
83,02/24/2000 02:25:00,02/24/2000 02:25:00,02/24/2000,0.0,0.0075
84,02/24/2000 06:15:00,02/24/2000 09:20:00,02/24/2000,185.0,0.82
85,02/25/2000 06:05:00,02/25/2000 08:05:00,02/25/2000,120.0,0.45250000000000007
86,02/25/2000 15:50:00,02/25/2000 17:15:00,02/25/2000,85.0,0.9924999999999999
87,02/26/2000 09:05:00,02/26/2000 11:50:00,02/26/2000,165.0,0.7450000000000001
88,02/26/2000 20:55:00,02/27/2000 09:55:00,02/26/2000,780.0,1.7325
89,02/27/2000 17:15:00,02/27/2000 17:35:00,02/27/2000,20.0,0.0175
90,02/28/2000 01:25:00,02/28/2000 03:50:00,02/28/2000,145.0,0.24499999999999997
91,02/28/2000 07:20:00,02/28/2000 07:20:00,02/28/2000,0.0,0.0075
92,03/01/2000 01:10:00,03/01/2000 01:10:00,03/01/2000,0.0,0.0075
93,03/01/2000 16:00:00,03/02/2000 08:35:00,03/01/2000,995.0,8.092500000000001
94,03/02/2000 12:10:00,03/02/2000 12:15:00,03/02/2000,5.0,0.01
95,03/03/2000 00:55:00,03/03/2000 04:45:00,03/03/2000,230.0,0.3825
96,03/12/2000 06:40:00,03/12/2000 06:40:00,03/12/2000,0.0,0.0075
97,03/12/2000 08:55:00,03/12/2000 08:55:00,03/12/2000,0.0,0.0075
