,Start,End,Precipitation,Duration,Date
76,03/19/2000 03:25:00,03/19/2000 03:50:00,0.1425,25,03/19/2000
77,03/19/2000 09:15:00,03/19/2000 15:30:00,6.1775,375,03/19/2000
78,03/19/2000 17:55:00,03/19/2000 22:05:00,0.39,250,03/19/2000
79,03/20/2000 04:20:00,03/20/2000 04:45:00,0.0375,25,03/20/2000
80,03/20/2000 07:45:00,03/20/2000 09:05:00,0.4175,80,03/20/2000
81,03/21/2000 07:05:00,03/21/2000 08:00:00,0.0075,55,03/21/2000
82,03/22/2000 15:55:00,03/22/2000 18:10:00,1.885,135,03/22/2000
83,03/23/2000 11:10:00,03/23/2000 15:40:00,2.775,270,03/23/2000
84,03/23/2000 20:05:00,03/23/2000 22:30:00,0.525,145,03/23/2000
85,03/27/2000 12:15:00,03/28/2000 03:00:00,2.2125,885,03/27/2000
86,04/05/2000 11:55:00,04/05/2000 13:35:00,0.045,100,04/05/2000
87,04/05/2000 17:20:00,04/05/2000 20:00:00,0.055,160,04/05/2000
88,04/06/2000 00:15:00,04/06/2000 05:45:00,0.065,330,04/06/2000
89,04/06/2000 15:35:00,04/06/2000 19:15:00,0.2775,220,04/06/2000
90,04/07/2000 11:15:00,04/07/2000 15:15:00,0.1225,240,04/07/2000
91,04/07/2000 17:35:00,04/08/2000 00:30:00,0.7175,415,04/07/2000
92,04/08/2000 07:20:00,04/08/2000 17:15:00,1.335,595,04/08/2000
93,04/08/2000 23:30:00,04/09/2000 11:05:00,1.5075,695,04/08/2000
94,04/10/2000 03:10:00,04/10/2000 10:35:00,6.2075,445,04/10/2000
95,04/10/2000 14:55:00,04/10/2000 17:25:00,1.28,150,04/10/2000
96,04/10/2000 20:15:00,04/10/2000 23:15:00,0.1125,180,04/10/2000
97,04/11/2000 01:20:00,04/11/2000 01:40:00,0.2775,20,04/11/2000
98,04/11/2000 04:20:00,04/11/2000 05:30:00,0.015,70,04/11/2000
99,04/11/2000 07:35:00,04/11/2000 09:40:00,0.2225,125,04/11/2000
100,04/12/2000 01:30:00,04/12/2000 03:05:00,0.015,95,04/12/2000
101,04/16/2000 20:40:00,04/16/2000 20:50:00,0.0425,10,04/16/2000
102,04/17/2000 07:35:00,04/17/2000 12:00:00,6.255,265,04/17/2000
103,04/17/2000 14:25:00,04/17/2000 14:55:00,0.0775,30,04/17/2000
104,04/17/2000 22:35:00,04/17/2000 22:50:00,0.165,15,04/17/2000
105,04/18/2000 00:50:00,04/18/2000 06:15:00,5.945,325,04/18/2000
106,04/18/2000 08:35:00,04/18/2000 08:50:00,0.065,15,04/18/2000
107,04/18/2000 12:15:00,04/18/2000 12:45:00,0.1925,30,04/18/2000
108,04/18/2000 16:30:00,04/18/2000 16:35:00,0.0175,5,04/18/2000
109,04/18/2000 20:55:00,04/18/2000 21:00:00,0.0075,5,04/18/2000
110,04/19/2000 08:45:00,04/19/2000 09:05:00,0.165,20,04/19/2000
