,System flooding,System flooding,System flooding,System flooding,CSO,CSO,CSO,CSO,Pumping energy,Pumping energy,Pumping energy,Pumping energy
,HC,DQN,IQL,VDN,HC,DQN,IQL,VDN,HC,DQN,IQL,VDN
Rain_58,5.473,4.372,4.756,4.902,7.041,2.955,3.102,2.215,125.52,72.17,50.78,68.26
Rain_59,1.827,1.437,1.204,0.989,3.413,1.854,2.721,1.596,74.76,58.76,31.55,41.77
Rain_60,14.015,12.289,12.079,12.852,10.302,4.821,7.591,5.111,192.16,116.75,129.26,92.06
Rain_61,7.99,6.701,6.967,7.15,8.99,3.397,4.566,3.32,157.53,89.67,73.45,67.57
Rain_62,11.758,10.826,10.739,10.749,10.072,3.869,5.875,4.47,175.86,109.49,94.53,87.61
Rain_63,2.633,1.943,1.763,2.113,4.555,1.915,3.319,1.652,83.94,68.6,44.19,42.62
Rain_64,17.051,15.593,15.115,15.842,12.508,6.516,8.765,7.276,226.63,146.51,144.74,123.04
Rain_65,9.7,8.198,9.121,8.86,9.143,3.083,4.666,3.791,163.99,63.69,91.81,70.71
Rain_66,20.941,19.483,19.127,19.764,13.031,7.203,9.284,7.673,237.22,138.21,158.16,124.22
Rain_67,4.254,3.512,2.961,3.543,6.622,2.746,4.455,2.269,115.97,82.18,59.15,45.69
Rain_68,43.692,41.347,41.487,41.316,16.05,13.5,12.966,12.088,292.25,216.01,212.18,221.83
Rain_69,12.763,11.222,11.61,11.837,10.89,4.903,6.423,5.15,197.03,92.73,110.68,114.1
Rain_70,43.055,41.264,42.275,41.579,17.284,13.212,12.651,11.793,302.77,214.49,210.58,237.66
Rain_71,15.481,13.735,13.271,14.23,10.211,5.298,7.434,5.358,192.99,127.25,117.28,90.77
Rain_72,2.574,1.883,2.008,2.047,4.929,1.938,2.701,1.655,92.57,69.01,41.23,46.76
Rain_73,13.402,11.88,11.489,12.424,11.446,5.357,7.386,5.737,211.99,130.35,111.97,105.74
Rain_74,12.797,11.109,11.465,11.682,11.825,6.014,8.06,5.953,206.6,110.71,128.11,114.2
Rain_75,9.294,7.787,7.963,8.415,9.878,4.01,5.257,3.867,172.27,70.68,89.27,72.04
Rain_76,9.77,8.488,8.656,8.759,8.862,3.043,4.987,3.621,155.52,66.42,71.47,70.3
Rain_77,1.36,0.99,0.897,0.715,1.212,2.695,2.945,1.143,46.87,67.23,35.21,41.55
Rain_78,6.897,5.525,5.402,5.648,7.459,3.23,5.22,3.242,149.02,87.84,90.55,55.55
Rain_79,3.035,2.488,2.671,2.54,6.232,3.885,3.517,1.988,115.57,71.07,56.07,41.75
Rain_80,5.458,4.516,4.511,4.606,7.584,2.789,3.779,2.394,137.03,66.26,54.89,53.37
Rain_81,1.425,0.938,1.155,0.738,1.454,1.865,2.332,1.188,46.76,56.32,30.55,39.4
Rain_82,8.402,6.941,7.749,7.677,9.563,4.495,5.311,3.928,169.33,79.37,96.68,74.59
Rain_83,15.808,13.935,14.343,14.623,12.998,7.187,8.723,7.105,226.1,133.51,138.24,135.83
Rain_84,7.919,6.473,7.297,7.156,9.374,3.498,4.196,3.232,161.71,67.26,77.55,70.67
Rain_85,1.272,1.147,1.131,0.726,1.194,2.428,3.216,1.22,43.56,59.6,40.75,38.62
Rain_86,5.866,4.525,4.786,4.819,7.304,2.913,3.95,2.535,137.82,66.57,67.47,49.5
Rain_87,13.495,11.592,12.13,12.319,12.33,6.388,7.981,6.49,215.95,121.63,135.13,109.51
Rain_88,15.831,14.579,14.052,14.813,12.832,6.409,9.126,7.19,227.37,128.48,141.56,122.18
Rain_89,1.736,1.357,1.376,1.109,3.86,1.703,2.263,1.459,71.32,60.16,35.15,40.51
Rain_90,25.571,24.571,24.789,24.059,14.228,7.912,9.228,8.917,250.75,181.13,174.11,174.67
Rain_91,6.789,5.331,5.766,6.051,8.422,3.46,4.62,3.143,145.66,69.94,68.73,69.85
Rain_92,31.639,30.086,30.39,29.653,13.312,8.26,9.656,9.471,246.51,188.12,161.85,174.18
Rain_93,14.484,13.072,13.05,13.56,12.992,6.555,8.849,6.863,229.42,146.99,163.96,125.58
Rain_94,8.265,6.615,7.149,7.067,7.908,3.022,3.91,3.148,153.68,64.14,79.89,81.39
Rain_95,15.795,14.276,14.453,14.964,11.652,5.809,7.363,6.022,213.84,139.16,136.0,119.23
Rain_96,16.611,14.741,15.314,15.468,11.197,5.666,7.248,5.794,197.48,103.17,117.8,102.36
Rain_97,10.7,9.043,9.197,9.296,9.318,4.101,5.394,4.493,178.49,103.33,93.03,81.93
Rain_98,13.238,11.327,11.615,11.607,8.78,4.02,5.383,4.524,176.07,103.11,95.6,85.87
Rain_99,26.227,24.554,24.733,24.786,13.784,8.922,9.504,8.514,243.74,183.09,167.78,157.6
Rain_100,10.754,9.126,9.809,9.7,9.42,3.699,5.369,3.95,173.9,72.47,111.4,93.97
Total of 100 rainfall events,1357.438,1220.925,1238.349,1250.731,976.487,514.575,634.986,503.05,17775.68,10783.09,10554.27,9684.48
